time,node,remaining_energy_j
12.2,46,19.2088
12.2,47,19.3212
12.2,48,19.1895
12.2,49,19.3691
12.2,50,19.2048
12.2,51,19.2116
12.2,52,19.1983
12.2,53,19.2514
12.2,54,19.3533
12.2,55,19.1954
12.2,56,19.2247
12.2,57,19.2720
12.2,58,19.2686
12.2,59,19.3652
12.2,60,19.2307
12.2,61,19.3022
12.2,62,19.3006
12.2,63,19.3927
12.2,64,19.3572
12.2,65,19.3484
12.2,66,19.2994
12.2,67,19.1961
12.2,68,19.2894
12.2,69,19.2777
12.2,70,19.3802
12.2,71,19.2315
12.2,72,19.3604
12.2,73,19.2905
12.2,74,19.3163
12.2,75,19.3826
12.2,76,19.1773
12.2,77,19.1762
12.2,78,19.2209
12.2,79,19.3262
12.2,80,19.3640
12.2,81,19.2907
12.2,82,19.1957
12.2,83,19.2032
12.2,84,19.1752
12.2,85,19.3831
12.2,86,19.1767
12.2,87,19.3266
12.2,88,19.1918
12.2,89,19.3900
12.2,90,19.2987
12.2,91,19.3511
12.2,92,19.2349
12.2,93,19.3949
12.2,94,19.1821
12.2,95,19.2609
12.2,96,19.2552
12.2,97,19.2027
12.2,98,19.3204
12.2,99,19.2129
13.2,0,19.2914
13.2,1,19.1194
13.2,2,19.2045
13.2,3,19.1247
13.2,4,19.0901
13.2,5,19.2932
13.2,6,19.2324
13.2,7,19.3139
13.2,8,19.2485
13.2,9,19.1950
13.2,10,19.1852
13.2,11,19.2663
13.2,12,19.0929
13.2,13,19.1156
13.2,14,19.1049
13.2,15,19.2236
13.2,16,19.2984
13.2,17,19.1725
13.2,18,19.3440
13.2,19,19.2093
13.2,20,19.1933
13.2,21,19.1657
13.2,22,19.2621
13.2,23,19.2892
13.2,24,19.0904
13.2,25,19.2944
13.2,26,19.3365
13.2,27,19.2139
13.2,28,19.1925
13.2,29,19.2777
13.2,30,19.3297
13.2,31,19.2509
13.2,32,19.1351
13.2,33,19.2465
13.2,34,19.0950
13.2,35,19.1138
13.2,36,19.2039
13.2,37,19.1536
13.2,38,19.0918
13.2,39,19.3201
13.2,40,19.2303
13.2,41,19.0938
13.2,42,19.1679
13.2,43,19.2467
13.2,44,19.1832
13.2,45,19.2691
13.2,46,19.3276
13.2,47,19.1492
13.2,48,19.1705
13.2,49,19.1069
13.2,50,19.2563
13.2,51,19.2363
13.2,52,19.2156
13.2,53,19.1717
13.2,54,19.3223
13.2,55,19.1086
13.2,56,19.2862
13.2,57,19.1067
13.2,58,19.2659
13.2,59,19.1623
13.2,60,19.3187
13.2,61,19.2891
13.2,62,19.2024
13.2,63,19.1501
13.2,64,19.0914
13.2,65,19.1781
13.2,66,19.3374
13.2,67,19.1508
13.2,68,19.3209
13.2,69,19.1255
13.2,70,19.1846
13.2,71,19.2692
13.2,72,19.1492
13.2,73,19.1225
13.2,74,19.1920
13.2,75,19.1734
13.2,76,19.2244
13.2,77,19.1309
13.2,78,19.2055
13.2,79,19.2115
13.2,80,19.2687
13.2,81,19.1405
13.2,82,19.2137
13.2,83,19.1375
13.2,84,19.2630
13.2,85,19.3123
13.2,86,19.2231
13.2,87,19.1613
13.2,88,19.1584
13.2,89,19.1985
13.2,90,19.1701
13.2,91,19.3449
13.2,92,19.2615
13.2,93,19.1782
13.2,94,19.1362
13.2,95,19.1919
13.2,96,19.3411
13.2,97,19.2256
13.2,98,19.3253
13.2,99,19.2262
14.2,0,19.0232
14.2,1,19.2782
14.2,2,19.2881
14.2,3,19.2635
14.2,4,19.1477
14.2,5,19.2362
14.2,6,19.2104
14.2,7,19.0256
14.2,8,19.0354
14.2,9,19.1666
14.2,10,19.0751
14.2,11,19.2301
14.2,12,19.2413
14.2,13,19.1340
14.2,14,19.0746
14.2,15,19.1120
14.2,16,19.2875
14.2,17,19.0836
14.2,18,19.0276
14.2,19,19.2394
14.2,20,19.1192
14.2,21,19.1172
14.2,22,19.1928
14.2,23,19.1144
14.2,24,19.2708
14.2,25,19.0327
14.2,26,19.0946
14.2,27,19.2413
14.2,28,19.2515
14.2,29,19.1557
14.2,30,19.0595
14.2,31,19.2797
14.2,32,19.2839
14.2,33,19.0275
14.2,34,19.0297
14.2,35,19.0867
14.2,36,19.1064
14.2,37,19.0573
14.2,38,19.2004
14.2,39,19.1889
14.2,40,19.0726
14.2,41,19.2601
14.2,42,19.1915
14.2,43,19.2232
14.2,44,19.2950
14.2,45,19.0399
14.2,46,19.1129
14.2,47,19.2207
14.2,48,19.0578
14.2,49,19.2700
14.2,50,19.1331
14.2,51,19.2858
14.2,52,19.1434
14.2,53,19.2120
14.2,54,19.2580
14.2,55,19.1643
14.2,56,19.0922
14.2,57,19.1598
14.2,58,19.0591
14.2,59,19.0279
14.2,60,19.0947
14.2,61,19.2580
14.2,62,19.2506
14.2,63,19.1788
14.2,64,19.1731
14.2,65,19.2186
14.2,66,19.1931
14.2,67,19.0760
14.2,68,19.2396
14.2,69,19.0376
14.2,70,19.2886
14.2,71,19.1604
14.2,72,19.1444
14.2,73,19.0233
14.2,74,19.2276
14.2,75,19.0989
14.2,76,19.2963
14.2,77,19.2246
14.2,78,19.1871
14.2,79,19.0369
14.2,80,19.0274
14.2,81,19.2478
14.2,82,19.0362
14.2,83,19.2506
14.2,84,19.1586
14.2,85,19.2011
14.2,86,19.1812
14.2,87,19.1962
14.2,88,19.2651
14.2,89,19.0446
14.2,90,19.2407
14.2,91,19.1764
14.2,92,19.0202
14.2,93,19.1463
14.2,94,19.0750
14.2,95,19.2460
14.2,96,19.1137
14.2,97,19.0701
14.2,98,19.2067
14.2,99,19.2796
15.2,0,19.2379
15.2,1,19.0477
15.2,2,19.2339
15.2,3,19.1492
15.2,4,19.1081
15.2,5,19.1777
15.2,6,18.9857
15.2,7,19.0042
15.2,8,19.1712
15.2,9,19.1690
15.2,10,19.1086
15.2,11,19.1969
15.2,12,19.0362
15.2,13,19.2397
15.2,14,19.1151
